sourcedatagen1:.99184402297186429226;calc2:.68930070942522079050;watermarkassigner3:.47238711130415198751;minibatchassigner4:.50180975821630230201;calc5:.36865981371555426861;nexmarkq26writer:.00144780657304184160;
sourcedatagen1:.99244435678414832122;calc2:.65388174963207962252;watermarkassigner3:.43730181608532718362;minibatchassigner4:.48428942058230037474;calc5:.34901609746476308962;nexmarkq26writer:.00122892992065057425;
sourcedatagen1:.99187864644107351225;calc2:.67387008945935433683;watermarkassigner3:.45733177751847530143;minibatchassigner4:.50287047841306884480;calc5:.35903539478802022559;nexmarkq26writer:.00158693115519253208;
sourcedatagen1:.99153099561678146524;calc2:.71809643080776455854;watermarkassigner3:.47211959924859110832;minibatchassigner4:.48559799624295554164;calc5:.36480901690670006261;nexmarkq26writer:.00154978083907326236;
sourcedatagen1:.99172299186680088842;calc2:.69496508636530687247;watermarkassigner3:.46523816371858172347;minibatchassigner4:.49348864707668216608;calc5:.36041736573829953821;nexmarkq26writer:.00151798411709250115;
sourcedatagen1:.99232615423482599633;calc2:.68930398534705993810;watermarkassigner3:.46873618391966146655;minibatchassigner4:.49602096886250236847;calc5:.35647066254026400555;nexmarkq26writer:.00124739468199330512;
sourcedatagen1:.99174561485789325579;calc2:.68517650001563330519;watermarkassigner3:.45722727699090141637;minibatchassigner4:.49613857361723415564;calc5:.36041021792827439577;nexmarkq26writer:.00139136416221117468;
sourcedatagen1:.99237642179733479706;calc2:.68102948800048790900;watermarkassigner3:.44986734973927362546;minibatchassigner4:.46756929832586222669;calc5:.34652212362394413441;nexmarkq26writer:.00112828957399445003;
sourcedatagen1:.99217735500727505984;calc2:.67071358167623636904;watermarkassigner3:.45642004474552935838;minibatchassigner4:.49575230376895035749;calc5:.36315847114226262183;nexmarkq26writer:.00134549493874868970;
sourcedatagen1:.99154978246187192737;calc2:.69137857916974256679;watermarkassigner3:.46718080010052303391;minibatchassigner4:.49248433254276155622;calc5:.36857398652363076633;nexmarkq26writer:.00150784550866225831;
sourcedatagen1:.99249801966357578863;calc2:.67926315952968951431;watermarkassigner3:.46209403103303667117;minibatchassigner4:.47663203019430595032;calc5:.35131944768028827485;nexmarkq26writer:.00130469223242160197;
sourcedatagen1:.99183388858758813047;calc2:.68528705353684047416;watermarkassigner3:.45497791895870457891;minibatchassigner4:.48201750987836057953;calc5:.35425737971643294336;nexmarkq26writer:.00176648330363368714;
sourcedatagen1:.99187302801415049239;calc2:.69984383465595818593;watermarkassigner3:.46390668323931542212;minibatchassigner4:.48629569429837141855;calc5:.36233546865538451732;nexmarkq26writer:.00151384772285432004;
sourcedatagen1:.99125959169582751424;calc2:.67555353303937106720;watermarkassigner3:.45823591256453308644;minibatchassigner4:.49387229902553077973;calc5:.36300155350165549923;nexmarkq26writer:.00169472907872644248;
sourcedatagen1:.99146967169253045421;calc2:.67984513204696402153;watermarkassigner3:.46496584720954389499;minibatchassigner4:.49412949730869715760;calc5:.35904498095627813277;nexmarkq26writer:.00136925934086688281;
